food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated
"Ice creams, vanilla, light",0.0483,0.030617154811715487,0.29460000000000003,0.054121376811594214,0.0037974683544303796,0.20037765189381318
"Ice creams, vanilla, rich",0.162,0.10804393305439333,0.2229,0.03962862318840581,0.0,0.27657447517494166
"Desserts, flan, caramel custard, prepared-from-recipe",0.0403,0.018817991631799164,0.2278,0.05129076086956523,0.0,0.1616127957347551
"Ice creams, vanilla",0.11,0.07102510460251046,0.23600000000000002,0.03962862318840581,0.008860759493670885,0.23036765522603578
"Ice creams, vanilla, light, soft-serve",0.026000000000000002,0.01705020920502092,0.218,0.055480072463768126,0.0,0.14461846051316227
"Sherbet, orange",0.02,0.012133891213389121,0.304,0.01245471014492754,0.016455696202531647,0.1599466844385205
"Candies, fudge, peanut butter, prepared-from-recipe",0.0659,0.01800209205020921,0.7775,0.042798913043478264,0.008860759493670885,0.4280795290458736
"Candies, fudge, vanilla, prepared-from-recipe",0.0545,0.03537656903765691,0.8215000000000001,0.011888586956521742,0.0,0.4240808619349106
"Candies, fudge, vanilla with nuts",0.1369,0.040041841004184106,0.7461,0.03396739130434783,0.01139240506329114,0.4816172386982117
"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",0.34,0.12656903765690378,0.53,0.10982789855072464,0.12278481012658227,0.6184605131622792
"Candies, NESTLE, BABY RUTH Bar",0.21600000000000003,0.12656903765690378,0.648,0.0611413043478261,0.02531645569620253,0.5278240586471176
"Candies, TWIZZLERS Strawberry Twists Candy",0.0232,0.0,0.7916,0.028985507246376815,0.0,0.3863156725535933
"Syrups, table blends, pancake, with butter",0.0009,0.0,0.7243,0.0,0.0,0.322670221037432
"Ice creams, chocolate, light",0.0719,0.045815899581589964,0.257,0.05661231884057972,0.010126582278481013,0.20826391202932357
"Candies, NESTLE, CHUNKY Bar",0.275,0.13075313807531383,0.604,0.08491847826086958,0.03164556962025317,0.5765855825835833
"Candies, milk chocolate",0.29660000000000003,0.19360878661087869,0.594,0.08661684782608697,0.043037974683544304,0.5943574364100855
"Puddings, banana, dry mix, instant, prepared with 2% milk",0.017,0.010156903765690378,0.1974,0.03125,0.0,0.1169610129956681
"Puddings, banana, dry mix, regular, prepared with 2% milk",0.0173,0.010617154811715481,0.1843,0.03283514492753624,0.0,0.11207375319337999
"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",0.1592,0.021642259414225942,0.6718000000000001,0.12352807971014494,0.09493670886075949,0.5060535377096523
"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",0.1789,0.08268828451882847,0.7603,0.024796195652173916,0.03164556962025317,0.5263800955237143
"Glutino, Gluten Free Cookies, Vanilla Creme",0.18789999999999998,0.0846652719665272,0.7734000000000001,0.024796195652173916,0.0,0.5411529490169943
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",0.18420000000000003,0.01497907949790795,0.6581,0.10665760869565219,0.030379746835443037,0.5183827613017883
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",0.1729,0.027343096234309625,0.647,0.12635869565217395,0.04430379746835443,0.509830056647784
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",0.1893,0.02235355648535565,0.6511,0.10948822463768118,0.04430379746835443,0.5214928357214262
"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",0.107,0.003546025104602511,0.5283,0.0354393115942029,0.04430379746835443,0.3555481506164612
"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",0.0802,0.006579497907949792,0.5115,0.0611413043478261,0.06962025316455696,0.3314450738642674
