food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster,plate_role
"Pummelo, raw",0.04,0.0,9.62,0.76,1.0,41.9,0,0,0-0,fruit / veg
"Raspberries, canned, red, heavy syrup pack, solids and liquids",0.12,0.005,23.36,0.83,3.3,97.8,0,0,0-0,fruit / veg
"Raspberries, frozen, red, sweetened",0.16,0.005,26.16,0.7,4.4,108.9,0,0,0-0,fruit / veg
"Rhubarb, raw",0.2,0.053,4.54,0.9,1.8,23.6,0,0,0-0,fruit / veg
"Sapodilla, raw",1.1,0.194,19.96,0.44,5.3,91.5,0,0,0-0,fruit / veg
"Sapote, mamey, raw",0.46,0.169,32.1,1.45,5.4,138.3,0,1,0-1,protein
"Soursop, raw",0.3,0.051,16.84,1.0,3.3,74.1,0,0,0-0,fruit / veg
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",0.1,0.019,22.36,0.41,1.3,92.0,0,0,0-0,fruit / veg
"Watermelon, raw",0.15,0.016,7.55,0.61,0.4,34.0,0,0,0-0,fruit / veg
"Maraschino cherries, canned, drained",0.21,0.039,41.97,0.22,3.2,170.6,0,1,0-1,protein
"Pineapple, canned, juice pack, drained",0.11,0.008,15.56,0.51,1.3,65.3,0,0,0-0,fruit / veg
"Apricots, canned, heavy syrup, drained",0.11,0.007,21.31,0.64,2.7,88.8,0,0,0-0,fruit / veg
"Cherries, sour, canned, water pack, drained",0.21,0.0,10.45,0.69,1.2,46.4,0,0,0-0,fruit / veg
"Cherries, sweet, canned, pitted, heavy syrup, drained",0.21,0.041,21.07,0.73,2.3,89.1,0,0,0-0,fruit / veg
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",0.13,0.022,11.3,0.1,0.2,46.8,0,0,0-0,fruit / veg
"Applesauce, canned, unsweetened, with added ascorbic acid",0.1,0.008,11.27,0.17,1.1,46.7,0,0,0-0,fruit / veg
"Applesauce, canned, sweetened, with salt",0.18,0.03,19.91,0.18,1.2,82.0,0,0,0-0,fruit / veg
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",0.1,0.018,11.54,0.14,0.1,47.6,0,0,0-0,fruit / veg
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",0.16,0.0,15.01,0.39,3.1,63.0,0,0,0-0,fruit / veg
"Pears, raw, red anjou",0.14,0.0,14.94,0.33,3.0,62.3,0,0,0-0,fruit / veg
"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",0.09,0.0,16.1,0.36,3.1,66.6,0,0,0-0,fruit / veg
"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",0.1,0.0,15.79,0.44,3.1,65.8,0,0,0-0,fruit / veg
"Abiyuch, raw",0.1,0.014,17.6,1.5,5.3,77.3,0,0,0-0,fruit / veg
"Rowal, raw",2.0,0.245,23.9,2.3,6.2,122.8,0,1,0-1,protein
"Guava nectar, canned, with added ascorbic acid",0.06,0.02,16.25,0.09,1.0,65.9,0,0,0-0,fruit / veg
"Mango nectar, canned",0.06,0.014,13.12,0.11,0.3,53.5,0,0,0-0,fruit / veg
"Tamarind nectar, canned",0.12,0.0,14.73,0.09,0.5,60.4,0,0,0-0,fruit / veg
"Pomegranate juice, bottled",0.29,0.077,13.13,0.15,0.1,55.7,0,0,0-0,fruit / veg
"Nance, canned, syrup, drained",1.28,0.0,22.79,0.56,7.0,104.9,0,0,0-0,fruit / veg
"Nance, frozen, unsweetened",1.16,0.0,16.97,0.66,7.5,81.0,0,0,0-0,fruit / veg
"Naranjilla (lulo) pulp, frozen, unsweetened",0.22,0.0,5.9,0.44,1.1,27.3,0,0,0-0,fruit / veg
Orange Pineapple Juice Blend,0.08,0.011,12.2,0.41,0.2,51.2,0,0,0-0,fruit / veg
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",0.18,0.0,15.22,0.2,2.1,63.3,0,0,0-0,fruit / veg
"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",0.12,0.014,11.54,0.68,0.3,50.0,0,0,0-0,fruit / veg
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",0.0,0.0,15.0,0.42,0.0,61.7,0,0,0-0,fruit / veg
"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",0.26,0.053,12.53,0.6,0.7,54.9,0,0,0-0,fruit / veg
