food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster
"Milk, imitation, non-soy",2.0,0.254,5.3,1.6,0.0,45.6,0,0,0-0
"Babyfood, banana no tapioca, strained",0.2,0.072,21.34,1.0,1.6,91.2,0,0,0-0
"Babyfood, banana apple dessert, strained",0.2,0.058,16.3,0.3,1.0,68.2,0,0,0-0
"Pie fillings, blueberry, canned",0.2,0.0,44.38,0.41,2.6,181.0,0,1,0-1
"Lemons, raw, without peel",0.3,0.039,9.32,1.1,2.8,44.4,0,0,0-0
"Lemon juice, raw",0.24,0.04,6.9,0.35,0.3,31.2,0,0,0-0
"Lemon juice from concentrate, canned or bottled",0.07,0.027,5.62,0.45,0.7,24.9,0,0,0-0
"Lemon peel, raw",0.3,0.039,16.0,1.5,10.6,72.7,0,0,0-0
"Prickly pears, raw",0.51,0.067,9.57,0.73,3.6,45.8,0,0,0-0
"Plums, dried (prunes), stewed, without added sugar",0.16,0.01,28.08,0.96,3.1,117.6,0,1,0-1
"Plums, dried (prunes), stewed, with added sugar",0.22,0.017,32.88,1.09,3.8,137.9,0,1,0-1
"Prune juice, canned",0.03,0.003,17.45,0.61,1.0,72.5,0,0,0-0
"Pummelo, raw",0.04,0.0,9.62,0.76,1.0,41.9,0,0,0-0
"Raspberries, canned, red, heavy syrup pack, solids and liquids",0.12,0.005,23.36,0.83,3.3,97.8,0,0,0-0
"Raspberries, frozen, red, sweetened",0.16,0.005,26.16,0.7,4.4,108.9,0,0,0-0
"Rhubarb, raw",0.2,0.053,4.54,0.9,1.8,23.6,0,0,0-0
"Sapodilla, raw",1.1,0.194,19.96,0.44,5.3,91.5,0,0,0-0
"Sapote, mamey, raw",0.46,0.169,32.1,1.45,5.4,138.3,0,1,0-1
"Soursop, raw",0.3,0.051,16.84,1.0,3.3,74.1,0,0,0-0
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",0.1,0.019,22.36,0.41,1.3,92.0,0,0,0-0
"Watermelon, raw",0.15,0.016,7.55,0.61,0.4,34.0,0,0,0-0
"Maraschino cherries, canned, drained",0.21,0.039,41.97,0.22,3.2,170.6,0,1,0-1
"Pineapple, canned, juice pack, drained",0.11,0.008,15.56,0.51,1.3,65.3,0,0,0-0
"Apricots, canned, heavy syrup, drained",0.11,0.007,21.31,0.64,2.7,88.8,0,0,0-0
"Cherries, sour, canned, water pack, drained",0.21,0.0,10.45,0.69,1.2,46.4,0,0,0-0
"Cherries, sweet, canned, pitted, heavy syrup, drained",0.21,0.041,21.07,0.73,2.3,89.1,0,0,0-0
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",0.13,0.022,11.3,0.1,0.2,46.8,0,0,0-0
"Applesauce, canned, unsweetened, with added ascorbic acid",0.1,0.008,11.27,0.17,1.1,46.7,0,0,0-0
"Applesauce, canned, sweetened, with salt",0.18,0.03,19.91,0.18,1.2,82.0,0,0,0-0
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",0.1,0.018,11.54,0.14,0.1,47.6,0,0,0-0
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",0.16,0.0,15.01,0.39,3.1,63.0,0,0,0-0
"Pears, raw, red anjou",0.14,0.0,14.94,0.33,3.0,62.3,0,0,0-0
"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",0.09,0.0,16.1,0.36,3.1,66.6,0,0,0-0
"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",0.1,0.0,15.79,0.44,3.1,65.8,0,0,0-0
"Abiyuch, raw",0.1,0.014,17.6,1.5,5.3,77.3,0,0,0-0
"Rowal, raw",2.0,0.245,23.9,2.3,6.2,122.8,0,1,0-1
"Guava nectar, canned, with added ascorbic acid",0.06,0.02,16.25,0.09,1.0,65.9,0,0,0-0
"Mango nectar, canned",0.06,0.014,13.12,0.11,0.3,53.5,0,0,0-0
"Tamarind nectar, canned",0.12,0.0,14.73,0.09,0.5,60.4,0,0,0-0
"Pomegranate juice, bottled",0.29,0.077,13.13,0.15,0.1,55.7,0,0,0-0
"Nance, canned, syrup, drained",1.28,0.0,22.79,0.56,7.0,104.9,0,0,0-0
"Nance, frozen, unsweetened",1.16,0.0,16.97,0.66,7.5,81.0,0,0,0-0
"Naranjilla (lulo) pulp, frozen, unsweetened",0.22,0.0,5.9,0.44,1.1,27.3,0,0,0-0
Orange Pineapple Juice Blend,0.08,0.011,12.2,0.41,0.2,51.2,0,0,0-0
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",0.18,0.0,15.22,0.2,2.1,63.3,0,0,0-0
"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",0.12,0.014,11.54,0.68,0.3,50.0,0,0,0-0
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",0.0,0.0,15.0,0.42,0.0,61.7,0,0,0-0
"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",0.26,0.053,12.53,0.6,0.7,54.9,0,0,0-0
"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",0.02,0.003,10.9,0.63,0.0,46.3,0,0,0-0
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",0.33,0.068,13.04,0.63,0.6,57.6,0,0,0-0
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",0.3,0.055,12.37,0.44,0.6,53.9,0,0,0-0
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",0.17,0.029,11.49,0.12,0.3,48.0,0,0,0-0
"Lemon juice from concentrate, bottled, REAL LEMON",0.07,0.027,5.66,0.47,0.7,25.2,0,0,0-0
"Cranberry sauce, whole, canned, OCEAN SPRAY",0.05,0.007,40.4,0.75,1.2,165.0,0,1,0-1
"Cranberry sauce, jellied, canned, OCEAN SPRAY",0.04,0.007,40.61,1.05,1.0,167.0,0,1,0-1
"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",0.1,0.008,10.53,0.5,0.2,45.0,0,0,0-0
"Focaccia, Italian flatbread, plain",7.89,0.877,35.82,8.77,1.8,249.4,0,1,0-1
"Ice creams, french vanilla, soft-serve",13.0,7.48,22.2,4.1,0.7,222.2,0,1,0-1
"Puddings, chocolate, dry mix, instant, prepared with 2% milk",1.92,1.064,18.89,3.15,0.4,105.4,0,0,0-0
"Sweet Potatoes, french fried, crosscut, frozen, unprepared",11.1,0.93,25.52,1.7,3.4,208.8,0,1,0-1
"Sweet Potato puffs, frozen, unprepared",3.58,0.31,30.72,1.36,1.9,160.5,0,1,0-1
"Stew, hominy with mutton (Navajo)",2.06,0.733,9.38,6.71,2.0,82.9,0,0,0-0
"Stew, mutton, corn, squash (Navajo)",4.34,1.735,7.27,8.62,1.7,102.6,0,1,0-1
"Restaurant, Latino, arroz con leche (rice pudding)",3.69,1.899,24.92,3.2,0.5,145.7,0,1,0-1
"Restaurant, Latino, Arroz con frijoles negros (rice and black beans)",3.85,0.729,24.4,4.64,3.4,150.8,0,1,0-1
"Restaurant, Latino, Arroz con habichuelas colorados (Rice And Red Beans)",3.46,0.502,23.74,3.96,2.6,141.9,0,1,0-1
"Restaurant, Latino, Arroz con grandules (rice and pigeonpeas)",4.98,0.763,30.75,3.5,1.4,181.8,0,1,0-1
"Restaurant, Latino, tamale, pork",9.04,2.692,15.75,7.35,2.4,173.8,0,1,0-1
"Restaurant, Latino, black bean soup",2.57,0.535,14.79,5.1,4.9,102.7,0,0,0-0
"Restaurant, Latino, tripe soup",2.58,1.045,4.07,8.61,0.0,73.9,0,0,0-0
"Restaurant, Latino, arepa (unleavened cornmeal bread)",5.38,2.902,37.14,5.48,2.6,218.9,0,1,0-1
"Restaurant, Chinese, beef and vegetables",5.3,0.978,7.29,7.08,1.5,105.2,0,0,0-0
"DENNY'S, macaroni & cheese, from kid's menu",4.92,1.384,21.16,5.19,1.2,149.7,0,1,0-1
"Restaurant, Chinese, shrimp and vegetables",4.05,0.633,4.52,5.9,1.4,78.1,0,0,0-0
"Restaurant, Chinese, sweet and sour chicken",12.65,1.933,23.86,10.1,1.0,249.7,0,1,0-1
"Restaurant, Chinese, chicken chow mein",2.8,0.49,8.29,6.76,1.0,85.4,0,0,0-0
"Restaurant, Chinese, vegetable chow mein, without meat or noodles",1.68,0.293,5.74,1.34,1.2,43.4,0,0,0-0
"OLIVE GARDEN, spaghetti with meat sauce",3.28,1.024,17.19,5.8,1.7,121.5,0,1,0-1
"CARRABBA'S ITALIAN GRILL, spaghetti with meat sauce",3.92,1.1,15.71,5.87,1.5,121.6,0,1,0-1
"Babyfood, banana juice with low fat yogurt",0.8,0.517,17.54,2.5,0.4,87.4,0,0,0-0
"Babyfood, mixed fruit juice with low fat yogurt",0.8,0.517,14.68,2.4,0.4,75.5,0,0,0-0
"Salad dressing, italian dressing, reduced calorie",20.0,2.88,6.7,0.3,0.2,208.0,0,1,0-1
"Cream substitute, liquid, light",3.5,0.896,9.1,0.8,0.0,71.1,0,0,0-0
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",2.7,0.494,20.0,1.4,0.0,109.9,0,0,0-0
